"filename", "language", "TypeScript JSX", "TypeScript", "CSS", "comment", "blank", "total"
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\host\end\endgame.tsx", "TypeScript JSX", 124, 0, 0, 0, 16, 140
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\host\host.module.css", "CSS", 0, 0, 12, 0, 0, 12
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\host\host.tsx", "TypeScript JSX", 194, 0, 0, 0, 31, 225
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\host\layout.tsx", "TypeScript JSX", 13, 0, 0, 0, 0, 13
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\host\pre-game\pregame.module.css", "CSS", 0, 0, 116, 0, 38, 154
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\host\pre-game\pregame.tsx", "TypeScript JSX", 77, 0, 0, 0, 9, 86
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\host\question\question.module.css", "CSS", 0, 0, 105, 0, 35, 140
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\host\question\question.tsx", "TypeScript JSX", 45, 0, 0, 0, 5, 50
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\host\question\revealedquestion.tsx", "TypeScript JSX", 35, 0, 0, 0, 2, 37
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\host\waiting\waiting.module.css", "CSS", 0, 0, 36, 0, 8, 44
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\host\waiting\waiting.tsx", "TypeScript JSX", 28, 0, 0, 0, 6, 34
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\join\page.module.css", "CSS", 0, 0, 61, 0, 8, 69
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\join\page.tsx", "TypeScript JSX", 59, 0, 0, 0, 12, 71
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\layout.tsx", "TypeScript JSX", 14, 0, 0, 0, 2, 16
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\live\[id]\game-ended\ended.module.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\live\[id]\game-ended\ended.tsx", "TypeScript JSX", 12, 0, 0, 0, 2, 14
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\live\[id]\layout.tsx", "TypeScript JSX", 13, 0, 0, 0, 0, 13
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\live\[id]\lobby\lobby.module.css", "CSS", 0, 0, 22, 0, 3, 25
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\live\[id]\lobby\lobby.tsx", "TypeScript JSX", 20, 0, 0, 0, 3, 23
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\live\[id]\not-in-game\notingame.module.css", "CSS", 0, 0, 45, 0, 10, 55
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\live\[id]\not-in-game\notingame.tsx", "TypeScript JSX", 9, 0, 0, 0, 2, 11
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\live\[id]\page.module.css", "CSS", 0, 0, 20, 0, 2, 22
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\live\[id]\page.tsx", "TypeScript JSX", 135, 0, 0, 2, 27, 164
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\live\[id]\question\mcq\question.module.css", "CSS", 0, 0, 76, 0, 25, 101
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\live\[id]\question\mcq\question.tsx", "TypeScript JSX", 78, 0, 0, 0, 11, 89
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\live\[id]\waiting\startgamewait.tsx", "TypeScript JSX", 26, 0, 0, 0, 6, 32
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\live\[id]\waiting\waiting.module.css", "CSS", 0, 0, 129, 2, 16, 147
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\live\[id]\waiting\waiting.tsx", "TypeScript JSX", 10, 0, 0, 0, 2, 12
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\my-sets\page.module.css", "CSS", 0, 0, 212, 0, 60, 272
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\my-sets\page.tsx", "TypeScript JSX", 220, 0, 0, 0, 35, 255
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\not-found.tsx", "TypeScript JSX", 9, 0, 0, 0, 2, 11
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\page.module.css", "CSS", 0, 0, 91, 0, 30, 121
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\page.tsx", "TypeScript JSX", 105, 0, 0, 0, 6, 111
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\privacy\page.module.css", "CSS", 0, 0, 45, 0, 11, 56
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\privacy\page.tsx", "TypeScript JSX", 77, 0, 0, 0, 3, 80
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\profile\[id]\page.module.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\profile\[id]\page.tsx", "TypeScript JSX", 34, 0, 0, 0, 9, 43
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\rootlayoutcontent.tsx", "TypeScript JSX", 22, 0, 0, 0, 3, 25
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\set\[id]\page.module.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\set\[id]\page.tsx", "TypeScript JSX", 11, 0, 0, 0, 5, 16
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\settings\page.module.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\settings\page.tsx", "TypeScript JSX", 7, 0, 0, 0, 2, 9
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\terms\page.module.css", "CSS", 0, 0, 45, 0, 11, 56
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\terms\page.tsx", "TypeScript JSX", 103, 0, 0, 0, 3, 106
"Total", "-", 2905, 826, 3320, 8, 1331, 8390
